site_name,pf_type,pf_registration
Politicops.com,Parody site,"Jerusalem, Israel"
Politicot.com,Parody site,"Jerusalem, Israel"
Religionlo.com,Parody site,"Jerusalem, Israel"
TheRightists.com,Parody site,"Jerusalem, Israel"
LadyLibertysNews.com,Fake news,"Kirkland, Wash."
ReadConservatives.news,Fake news,"Kirkland, Wash."
ILoveNativeAmericans.us,Some fake stories,"Kosovo, Serbia"
247NewsMedia.com,Fake news,"Kumanovo, Macedonia"
GlobalPoliticsNow.com,Fake news,"Kumanovo, Macedonia"
HealthyWorldHouse.com,Fake news,"Kumanovo, Macedonia"
NewPoliticsToday.com,Fake news,"Kumanovo, Macedonia"
Success-Street.com,Fake news,"Kumanovo, Macedonia"
TheNewYorkEvening.com,Imposter site,"Kumanovo, Macedonia"
WashingtonEvening.com,Imposter site,"Kumanovo, Macedonia"
TeaParty.org,Some fake stories,"Laguna Woods, Calif."
TheWashingtonPress.com,Imposter site,"Laurium, Mich. "
NewsBreakingsPipe.com,Fake news,"Limassol, Cyprus"
RealNewsRightNow.com,Parody site,"Los Angeles, Calif."
SocialEverythings.com,Fake news,"Mahawela, Sri Lanka"
UrbanImageMagazine.com,Some fake stories,"Marion, Indiana"
OnePoliticalPlaza.com,Fake news,"Miami, Fla."
BB4SP.com,Fake news,"Midwest City, Okla."
NewsJustForYou1.blogspot.com,Fake news,"Mountain View, Calif."
FirstPost.com,Some fake stories,"Mumbai, India"
WorldPoliticsNow.com,Fake news,"Nassau, Bahamas!"
Coed.com,Some fake stories,"New York, N.Y."
NewsExaminer.net,Fake news,"Nobby Beach, Australia"
Prntly.com,Fake news,"Nobby Beach, Australia"
USAPolitics24hrs.com,Fake news,"Nobby Beach, Australia"
USAPoliticsNow.com,Fake news,"Nobby Beach, Australia"
WorldNewsDailyReport.com,Parody site,"Nobby Beach, Australia"
USADoseNews.com,Fake news,"Nobby Beach, Australia"
FreedomCrossroads.us,Fake news,"North Waterboro, Me."
ProudLeader.com,Fake news,"North Waterboro, Me."
InterestingDailyNews.com,Fake news,"Orem, Utah"
Liberty-Courier.com,Fake news,"Orem, Utah"
USADailyInfo.com,Fake news,Panama
AmericanFlavor.news,Fake news,"Panama, Pa."
ANews24.org/,Fake news,"Panama, Pa."
BlueVision.news,Fake news,"Panama, Pa."
BlueVisionPost.com,Fake news,"Panama, Pa."
ConservativeDailyPost.com,Fake news,"Panama, Pa."
DemocraticMoms.com,Fake news,"Panama, Pa."
NewsBySquad.com,Fake news,"Panama, Pa."
RumorJournal.com,Fake news,"Panama, Pa."
Spinzon.com,Fake news,"Panama, Pa."
SupremePatriot.com,Fake news,"Panama, Pa."
ThePremiumNews.com,Fake news,"Panama, Pa."
USAFirstInformation.com,Fake news,"Panama, Pa."
24online.news,Imposter site,"Panama, Pa."
ConservativeFlashNews.com,Fake news,"Panama, Pa."
DailyInfoBox.com,Fake news,"Panama, Pa."
DIYHours.net,Fake news,"Panama, Pa."
FlashNewsCorner.com,Fake news,"Panama, Pa."
Nephef.com,Fake news,"Panama, Pa."
PoliticsUSANews.com,Fake news,"Panama, Pa."
USADailyTime.com,Fake news,"Panama, Pa."
USHealthyAdvisor.com,Fake news,"Panama, Pa."
USHealthyLife.com,Fake news,"Panama, Pa."
USAWorldBox.com,Fake news,"Panama, Pa."
TheMoralOfTheStory.us,Fake news,"Paradise, Calif."
Disclose.tv,Fake news,"Passau, Germany"
ABCNews.com.co,Imposter site,"Phoenix, Ariz."
NBC.com.co,Imposter site,"Phoenix, Ariz."
WeLoveNative.com,Some fake stories,"Pristina, Kosovo"
Rogue-Nation3.com,Fake news,"Quebec, Canada"
BlackInsuranceNews.com,Some fake stories,"Ridgefield Park, N.J."
The-Postillon.com,Parody site,"Roubaix, France"
Aurora-News.us,Imposter site,"Santiago, Chile"
USANewsToday.com,Fake news,"Scotts, Mich."
16WMPO.com,Imposter site,"Scottsdale, Ariz."
actualidadpanamericana.com,Parody site,"Scottsdale, Ariz."
AngryPatriotMovement.com,Fake news,"Scottsdale, Ariz."
AssociatedMediaCoverage.com,Parody site,"Scottsdale, Ariz."
BeforeItsNews.com,Fake news,"Scottsdale, Ariz."
BostonTribune.com,Parody site,"Scottsdale, Ariz."
BuzzFeedUSA.com,Fake news,"Scottsdale, Ariz."
CannaSOS.com,Some fake stories,"Scottsdale, Ariz."
Channel18News.com,Imposter site,"Scottsdale, Ariz."
ChristianTimesNewspaper.com,Imposter site,"Scottsdale, Ariz."
ChristianToday.info,Fake news,"Scottsdale, Ariz."
CivicTribune.com,Fake news,"Scottsdale, Ariz."
CivicTribune.com,Imposter site,"Scottsdale, Ariz."
ClashDaily.com,Fake news,"Scottsdale, Ariz."
CNNews3.com,Imposter site,"Scottsdale, Ariz."
DailyNews10.com,Imposter site,"Scottsdale, Ariz."
DailyNews5.com,Imposter site,"Scottsdale, Ariz."
DailySnark.com,Parody site,"Scottsdale, Ariz."
DailyUSAUpdate.com,Fake news,"Scottsdale, Ariz."
EmpireHerald.com,Imposter site,"Scottsdale, Ariz."
FedsAlert.com,Fake news,"Scottsdale, Ariz."
FocusNews.info,Fake news,"Scottsdale, Ariz."
Fox-News24.com,Imposter site,"Scottsdale, Ariz."
FreedomDaily.com,Fake news,"Scottsdale, Ariz."
FreedomsFinalStand.com,Fake news,"Scottsdale, Ariz."
FreeWoodPost.com,Parody site,"Scottsdale, Ariz."
GiveMeLiberty01.com,Fake news,"Scottsdale, Ariz."
GummyPost.com,Fake news,"Scottsdale, Ariz."
HoustonChronicle-TV.com,Imposter site,"Scottsdale, Ariz."
KMT11.com,Imposter site,"Scottsdale, Ariz."
KY12News.com,Imposter site,"Scottsdale, Ariz."
LastDeplorables.com,Fake news,"Scottsdale, Ariz."
LearnProgress.org,Some fake stories,"Scottsdale, Ariz."
LiberalPlug.com,Fake news,"Scottsdale, Ariz."
Local31News.com,Imposter site,"Scottsdale, Ariz."
MadWorldNews.com,Fake news,"Scottsdale, Ariz."
Mentor2day.com,Some fake stories,"Scottsdale, Ariz."
NationalReport.net,Parody site,"Scottsdale, Ariz."
News4KTLA.com,Imposter site,"Scottsdale, Ariz."
NewsDaily12.com,Imposter site,"Scottsdale, Ariz."
NewzMagazine.com,Fake news,"Scottsdale, Ariz."
Now8News.com,Imposter site,"Scottsdale, Ariz."
OpenMagazines.com,Fake news,"Scottsdale, Ariz."
RedRockTribune.com,Imposter site,"Scottsdale, Ariz."
SatiraTribune.com,Parody site,"Scottsdale, Ariz."
States-TV.com,Fake news,"Scottsdale, Ariz."
TDTAlliance.com,Fake news,"Scottsdale, Ariz."
TheBigRiddle.com,Some fake stories,"Scottsdale, Ariz."
The-Insider.co,Fake news,"Scottsdale, Ariz."
TheInternetPost.net,Fake news,"Scottsdale, Ariz."
TheLastLineOfDefense.org,Parody site,"Scottsdale, Ariz."
ThePoliticalInsider.com,Some fake stories,"Scottsdale, Ariz."
TheSeattleTribune.com,Parody site,"Scottsdale, Ariz."
TheTrumpMedia.com,Fake news,"Scottsdale, Ariz."
TheUSAConservative.com,Fake news,"Scottsdale, Ariz."
UndergroundNewsReport.com,Fake news,"Scottsdale, Ariz."
USANewsHome.com,Fake news,"Scottsdale, Ariz."
USA-Radio.com,Fake news,"Scottsdale, Ariz."
USASnich.com,Fake news,"Scottsdale, Ariz."
USA-Television.com,Imposter site,"Scottsdale, Ariz."
USPOLN.com,Fake news,"Scottsdale, Ariz."
ViralActions.com,Fake news,"Scottsdale, Ariz."
VoxTribune.com,Fake news,"Scottsdale, Ariz."
TMZWorldNews.com,Fake news,"Scottsdale, Ariz."
EmpireSports.co,Parody site,"Sellersburg, IN"
JewsNews.co.il,Some fake stories,"Shiloh, Israel"
MajorThoughts.com,Fake news,"Sunrise, Fla. "
AmericanPresident.co,Fake news,"Tblisi, Georgia"
NewsLeak.co,Fake news,"Tblisi, Georgia"
Newslo.com,Parody site,"Thessaloniki, Greece"
AlabamaObserver.com,Imposter site,"Toronto, Canada"
BostonLeader.com,Parody site,"Toronto, Canada"
DenverInquirer.com,Imposter site,"Toronto, Canada"
FloridaSunPost.com,Parody site,"Toronto, Canada"
IsThatLegit.com,Fake news,"Toronto, Canada"
MIssissippiHerald.com,Imposter site,"Toronto, Canada"
NeonNettle.com,Fake news,"Toronto, Canada"
WashingtonFeed.com,Fake news,"Vancouver, Canada "
24wpn.com,Fake news,"Veles, Macedonia"
AmericanPeopleNetwork.com,Fake news,"Veles, Macedonia"
FreshDailyReport.com,Fake news,"Veles, Macedonia"
RedCountry.us,Fake news,"Veles, Macedonia"
RedInfo.us,Fake news,"Veles, Macedonia"
UniversePolitics.com,Fake news,"Veles, Macedonia"
USADailyPost.us,Fake news,"Veles, Macedonia"
USAPoliticsZone.com,Fake news,"Veles, Macedonia"
USInfoNews.com,Fake news,"Veles, Macedonia"
USPostman.com,Fake news,"Veles, Macedonia"
WeConservative.com,Fake news,"Veles, Macedonia"
USANews4U.us,Fake news,"Veles, Virgin Islands"
WashingtonPost.com.co,Imposter site,"Washington, DC"
